parameter_id,group,subgroup,parameter,type,unit_range,rate_hz,validity_tier,what_it_measures,principal_confound,status
text.competency_coverage,E Linguistic content,E1 Answer structure,Competency coverage,Derived,0.0-1.0 vs. rubric,0,Measured,Overlap between the answer and the competency's rubric language,Rewards rehearsed keyword use; needs semantic not lexical matching,Implemented
text.pronoun_i_we_ratio,E Linguistic content,E1 Answer structure,I / we ratio,Derived,ratio,0,Measured,Individual vs. collective framing of contribution,Culturally loaded — collectivist framing is not lower ownership,Implemented
text.hedging_density,E Linguistic content,E1 Answer structure,Hedging density,Derived,hedges / 100 words,0,Measured,"maybe, sort of, I think — tentativeness of assertion","Politeness register, and appropriate epistemic caution, both raise it",Implemented
text.answer_relevance,E Linguistic content,E1 Answer structure,Answer relevance,Derived,0.0-1.0,0,Measured,Semantic match between the answer and the question asked,Requires a good embedding model and a defined question set,Implemented
quality.face_detected,F Session integrity,F1 Capture quality,Face detected,Raw,0 or 1,30,Measured,Whether a face was found in this frame,Gates every Group A and C value,Implemented
quality.face_visibility_ratio,F Session integrity,F1 Capture quality,Face visibility,Raw,0.0-1.0 over window,1,Measured,Fraction of frames with a face. Below 0.6 the session is not analysable,The primary go/no-go gate,Implemented
quality.illumination_mean,F Session integrity,F1 Capture quality,Illumination level,Raw,0-255,1,Measured,Mean luminance over the face region,Backlighting is the common failure,Implemented
quality.illumination_stability,F Session integrity,F1 Capture quality,Illumination stability,Raw,SD over 10 s,1,Measured,Lighting flicker. Instability corrupts rPPG directly,Screen glow changes colour as the interviewer's video changes,Implemented
quality.frame_drop_rate,F Session integrity,F1 Capture quality,Frame drop rate,Raw,dropped/s,1,Measured,Capture gaps. Above ~10% the rPPG window is no longer uniformly sampled,CPU contention and network,Implemented
quality.resolution,F Session integrity,F1 Capture quality,Capture resolution,Raw,pixels,0,Measured,Face bounding-box size in pixels; small faces degrade AU detection,Sitting distance,Implemented
quality.audio_snr,F Session integrity,F1 Capture quality,Audio SNR,Raw,dB,1,Measured,"Speech-to-background ratio. Below ~15 dB, voice-quality features are noise","Open-plan rooms, fans, traffic",Implemented
quality.network_jitter,F Session integrity,F1 Capture quality,Network jitter,Raw,ms,1,Measured,Needed to separate real response latency from transport delay,Must be logged or latency features are meaningless,Implemented
quality.frame_drop_fraction,F Session integrity,F1 Capture quality,Frame drop fraction,Raw,0.0-1.0,1,Measured,Dropped frames as a share of those expected; the scale-free form of frame_drop_rate,CPU contention and network,Implemented
quality.face_bbox_px,F Session integrity,F1 Capture quality,Face bounding box,Raw,"pixels [w, h]",1,Measured,Face box dimensions; resolution is its smaller side,Sitting distance and camera field of view,Implemented
